iter	Passed	Remaining
817	1787	397
818	1789	395
819	1790	393
820	1792	390
821	1794	388
822	1796	386
823	1798	384
824	1799	381
825	1801	379
826	1803	377
827	1804	374
828	1806	372
829	1808	370
830	1810	368
831	1812	365
832	1813	363
833	1815	361
834	1817	359
835	1819	356
836	1820	354
837	1822	352
838	1824	350
839	1826	347
840	1828	345
841	1830	343
842	1832	341
843	1833	338
844	1835	336
845	1837	334
846	1839	332
847	1841	330
848	1842	327
849	1844	325
850	1846	323
851	1848	321
852	1849	318
853	1851	316
854	1853	314
855	1855	312
856	1857	309
857	1858	307
858	1860	305
859	1861	303
860	1863	300
861	1865	298
862	1867	296
863	1869	294
864	1871	292
865	1873	289
866	1875	287
867	1877	285
868	1879	283
869	1881	281
870	1883	278
871	1885	276
872	1886	274
873	1888	272
874	1890	270
875	1892	267
876	1893	265
877	1895	263
878	1897	261
879	1899	258
880	1900	256
881	1902	254
882	1904	252
883	1906	250
884	1907	247
885	1909	245
886	1911	243
887	1913	241
888	1915	239
889	1917	236
890	1918	234
891	1920	232
892	1922	230
893	1924	228
894	1926	225
895	1928	223
896	1929	221
897	1931	219
898	1933	217
899	1935	215
900	1937	212
901	1938	210
902	1940	208
903	1942	206
904	1944	204
905	1946	201
906	1947	199
907	1949	197
908	1951	195
909	1953	193
910	1955	190
911	1956	188
912	1958	186
913	1960	184
914	1962	182
915	1963	180
916	1965	177
917	1967	175
918	1969	173
919	1970	171
920	1972	169
921	1974	167
922	1976	164
923	1978	162
924	1979	160
925	1981	158
926	1983	156
927	1985	154
928	1987	151
929	1989	149
930	1990	147
931	1992	145
932	1994	143
933	1996	141
934	1998	138
935	1999	136
936	2002	134
937	2004	132
938	2005	130
939	2007	128
940	2009	125
941	2011	123
942	2013	121
943	2016	119
944	2018	117
945	2020	115
946	2021	113
947	2023	110
948	2025	108
949	2027	106
950	2028	104
951	2030	102
952	2032	100
953	2034	98
954	2036	95
955	2038	93
956	2039	91
957	2041	89
958	2043	87
959	2045	85
960	2046	83
961	2048	80
962	2050	78
963	2052	76
964	2054	74
965	2055	72
966	2057	70
967	2059	68
968	2061	65
969	2063	63
970	2065	61
971	2067	59
